"","date","doses","dosescm","fdoses","fdosescm","sdoses","sdosescm","pop","doses7d","dosert","fdoses7d","fdosert","sdoses7d","sdosert"
"1",2020-12-16,16,16,16,16,0,0,110029,0,0.0145416208454135,0,0.0145416208454135,0,0
"2",2020-12-17,157,173,157,173,0,0,110029,0,0.157231275391033,0,0.157231275391033,0,0
"3",2020-12-18,1984,2157,1984,2157,0,0,110029,0,1.96039226022231,0,1.96039226022231,0,0
"4",2020-12-19,5720,7877,5720,7877,0,0,110029,0,7.15902171245762,0,7.15902171245762,0,0
"5",2020-12-20,3436,11313,3436,11313,0,0,110029,0,10.2818347890102,0,10.2818347890102,0,0
"6",2020-12-21,934,12247,934,12247,0,0,110029,0,11.1307019058612,0,11.1307019058612,0,0
"7",2020-12-22,4370,16617,4370,16617,0,0,110029,2373.85714285714,15.1023820992647,2373.85714285714,15.1023820992647,0,0
"8",2020-12-23,3647,20264,3647,20264,0,0,110029,2892.57142857143,18.4169628007162,2892.57142857143,18.4169628007162,0,0
"9",2020-12-24,2794,23058,2794,23058,0,0,110029,3269.28571428571,20.9562933408465,3269.28571428571,20.9562933408465,0,0
"10",2020-12-25,965,24023,965,24023,0,0,110029,3123.71428571429,21.8333348480855,3123.71428571429,21.8333348480855,0,0
"11",2020-12-26,3,24026,3,24026,0,0,110029,2307,21.836061401994,2307,21.836061401994,0,0
"12",2020-12-27,481,24507,481,24507,0,0,110029,1884.85714285714,22.2732188786593,1884.85714285714,22.2732188786593,0,0
"13",2020-12-28,10,24517,10,24517,0,0,110029,1752.85714285714,22.2823073916876,1752.85714285714,22.2823073916876,0,0
"14",2020-12-29,2338,26855,2338,26855,0,0,110029,1462.57142857143,24.4072017377237,1462.57142857143,24.4072017377237,0,0
"15",2020-12-30,4062,30917,4062,30917,0,0,110029,1521.85714285714,28.098955729853,1521.85714285714,28.098955729853,0,0
"16",2020-12-31,4959,35876,4959,35876,0,0,110029,1831.14285714286,32.6059493406284,1831.14285714286,32.6059493406284,0,0
"17",2021-01-01,1974,37850,1974,37850,0,0,110029,1975.28571428571,34.4000218124313,1975.28571428571,34.4000218124313,0,0
"18",2021-01-02,171,38021,171,38021,0,0,110029,1999.28571428571,34.5554353852166,1999.28571428571,34.5554353852166,0,0
"19",2021-01-03,1479,39500,1479,39500,0,0,110029,2141.85714285714,35.8996264621145,2141.85714285714,35.8996264621145,0,0
"20",2021-01-04,1103,40603,1076,40576,27,27,110029,2298,36.9020894491452,2294.14285714286,36.8775504639686,3.85714285714286,0.0245389851766352
"21",2021-01-05,3621,44224,3419,43995,202,229,110029,2481.28571428571,40.1930400167229,2448.57142857143,39.9849130683729,32.7142857142857,0.20812694834998
"22",2021-01-06,4541,48765,4281,48276,260,489,110029,2549.71428571429,44.3201337829118,2479.85714285714,43.8757054958238,69.8571428571429,0.44442828708795
"23",2021-01-07,3944,52709,3221,51497,723,1212,110029,2404.71428571429,47.9046433213062,2231.57142857143,46.8031155422661,173.142857142857,1.10152777904007
"24",2021-01-08,5957,58666,2874,54371,3083,4295,110029,2973.71428571429,53.3186705323142,2360.14285714286,49.4151541866235,613.571428571429,3.90351634569068
"25",2021-01-09,8913,67579,3720,58091,5193,9488,110029,4222.57142857143,61.4192621945124,2867.14285714286,52.7960810331822,1355.42857142857,8.62318116133019
"26",2021-01-10,4141,71720,1424,59515,2717,12205,110029,4602.85714285714,65.1828154395659,2859.28571428571,54.090285288424,1743.57142857143,11.092530151142
"27",2021-01-11,1420,73140,639,60154,781,12986,110029,4648.14285714286,66.4733842895964,2796.85714285714,54.6710412709377,1851.28571428571,11.8023430186587
"28",2021-01-12,5797,78937,2059,62213,3738,16724,110029,4959,71.7419952921502,2602.57142857143,56.5423661034818,2356.42857142857,15.1996291886684
"29",2021-01-13,6858,85795,3794,66007,3064,19788,110029,5290,77.9748975270156,2533,59.9905479464505,2757,17.9843495805651
"30",2021-01-14,6685,92480,4272,70279,2413,22201,110029,5681.57142857143,84.0505684864899,2683.14285714286,63.8731607121759,2998.42857142857,20.177407774314
"31",2021-01-15,4756,97236,3922,74201,834,23035,110029,5510,88.3730652827891,2832.85714285714,67.4376755219079,2677.14285714286,20.9353897608812
"32",2021-01-16,4394,101630,3903,78104,491,23526,110029,4864.42857142857,92.3665579074608,2859,70.9849221568859,2005.42857142857,21.3816357505748
"33",2021-01-17,3067,104697,2564,80668,503,24029,110029,4711,95.154004853266,3021.85714285714,73.3152168973634,1689.14285714286,21.8387879559025
"34",2021-01-18,1288,105985,859,81527,429,24458,110029,4692.14285714286,96.3246053313217,3053.28571428571,74.0959201665016,1638.85714285714,22.2286851648202
"35",2021-01-19,4462,110447,2947,84474,1515,25973,110029,4501.42857142857,100.379899844586,3180.14285714286,76.7743049559662,1321.28571428571,23.6055948886203
"36",2021-01-20,6041,116488,3728,88202,2313,28286,110029,4384.71428571429,105.870270565033,3170.71428571429,80.1625026129475,1214,25.7077679520854
"37",2021-01-21,8157,124645,5432,93634,2725,31011,110029,4595,113.283770642285,3336.42857142857,85.0993828899654,1258.57142857143,28.1843877523198
"38",2021-01-22,10555,135200,8750,102384,1805,32816,110029,5423.42857142857,122.876696143744,4026.14285714286,93.0518317898009,1397.28571428571,29.8248643539431
"39",2021-01-23,9737,144937,8778,111162,959,33775,110029,6186.71428571429,131.726181279481,4722.57142857143,101.029728526116,1464.14285714286,30.696452753365
"40",2021-01-24,4942,149879,4378,115540,564,34339,110029,6454.57142857143,136.217724418108,4981.71428571429,105.008679529942,1472.85714285714,31.2090448881658
"41",2021-01-25,1736,151615,1610,117150,126,34465,110029,6518.57142857143,137.795490279835,5089,106.471930127512,1429.57142857143,31.3235601523235
"42",2021-01-26,8284,159899,6088,123238,2196,36661,110029,7064.57142857143,145.324414472548,5537.71428571429,112.005016859192,1526.85714285714,33.3193976133565
"43",2021-01-27,9701,169600,6546,129784,3155,39816,110029,7587.42857142857,154.141180961383,5940.28571428571,117.954357487571,1647.14285714286,36.1868234738115
"44",2021-01-28,11559,181159,8871,138655,2688,42504,110029,8073.42857142857,164.646593170891,6431.57142857143,126.01677739505,1641.85714285714,38.6298157758409
"45",2021-01-29,12065,193224,10081,148736,1984,44488,110029,8289.14285714286,175.611884139636,6621.71428571429,135.178907378964,1667.42857142857,40.4329767606722
"46",2021-01-30,12389,205613,10923,159659,1466,45954,110029,8668,186.8716429305,6928.14285714286,145.106290159867,1739.85714285714,41.7653527706332
"47",2021-01-31,6716,212329,5316,164975,1400,47354,110029,8921.42857142857,192.975488280362,7062.14285714286,149.937743685756,1859.28571428571,43.0377445946069
"48",2021-02-01,2666,214995,2190,167165,476,47830,110029,9054.28571428571,195.398485853729,7145,151.928128038972,1909.28571428571,43.4703578147579
"49",2021-02-02,8284,223279,6343,173508,1941,49771,110029,9054.28571428571,202.927410046442,7181.42857142857,157.692971852875,1872.85714285714,45.2344381935672
"50",2021-02-03,12398,235677,8718,182226,3680,53451,110029,9439.57142857143,214.195348499032,7491.71428571429,165.61633751102,1947.85714285714,48.5790109880123
"51",2021-02-04,13105,248782,9983,192209,3122,56573,110029,9660.42857142857,226.105844822729,7650.57142857143,174.689400067255,2009.85714285714,51.4164447554736
"52",2021-02-05,15512,264294,12585,204794,2927,59500,110029,10152.8571428571,240.203946232357,8008.28571428571,186.127293713476,2144.57142857143,54.0766525188814
"53",2021-02-06,16850,281144,12708,217502,4142,63642,110029,10790.1428571429,255.518090685183,8263.28571428571,197.676976069945,2526.85714285714,57.8411146152378
"54",2021-02-07,9106,290250,7047,224549,2059,65701,110029,11131.5714285714,263.794090648829,8510.57142857143,204.081651201047,2621,59.712439447782
"55",2021-02-08,3203,293453,2645,227194,558,66259,110029,11208.2857142857,266.70514137182,8575.57142857143,206.485562897054,2632.71428571429,60.2195784747657
"56",2021-02-09,10204,303657,7533,234727,2671,68930,110029,11482.5714285714,275.979060065983,8745.57142857143,213.331939761336,2737,62.647120304647
"57",2021-02-10,11589,315246,8290,243017,3299,72229,110029,11367,286.511737814576,8684.42857142857,220.866317061866,2682.57142857143,65.6454207527106
