"","ZCTA5","WeekNo","StartDate","EndDate","CasesWk","CasesCm","CasesWkRt","CasesCmRt","TestsWk","TestsCm","TestsWkRt","TestsCmRt","PctPosWk","PctPosCum","DeathsWk","DeathsCm","DeathsWkRt","DeathsCmRt","RowID","TOTPOP","REGION","ZCTA5No","SurvCm","NotTestedCm","NotInfCm","CasesWkRtLag1wk","DeathsWkRtLag1wk","PctPosWkLag1wk","PctPosWk_adj","CasesWkRt_adj","DeathsWkRt_adj","PctPosWk_trd","CasesWkRt_trd","DeathsWkRt_trd","Hardship","CasesWkRt_qa","PctPosWk_qa","Hardship_qa","color","DeathsWkRt_qa","CasesWk_c","DeathsWk_c","CasesWkRt_c","DeathsWkRt_c","PctPosWk_c","CasesRtDiff","DeathsRtDiff","PctPosDiff"
"13","60615",12,2020-03-16,2020-03-22,25,26,60,62.6,148,155,356,372.9,16.8918918918919,16.7741935483871,0,0,0,0,"60615-2020-12",41563,"southeast",60615,41563,41408,41537,0,0,0,45.045045045045,82.1917808219178,0,45.045045045045,82.1917808219178,0,42.6370096301844,2,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,30.4017538312785,0,-3.99337903153726
"14","60647",12,2020-03-16,2020-03-22,13,21,15,24,113,135,129,154.3,11.5044247787611,15.5555555555556,0,0,0,0,"60647-2020-12",87509,"northeast",60647,87509,87374,87488,0,0,0,30.6784660766962,20.5479452054795,0,30.6784660766962,20.5479452054795,0,17.1659500013119,1,4,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-14.5982461687215,0,-9.38084614466809
"15","60657",12,2020-03-16,2020-03-22,31,46,44,65.7,145,182,207,259.8,21.3793103448276,25.2747252747253,0,0,0,0,"60657-2020-12",70052,"northeast",60657,70052,69870,70006,0,0,0,57.0114942528736,60.2739726027397,0,57.0114942528736,60.2739726027397,0,39.3023131921895,2,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,14.4017538312785,0,0.494039421398433
"16","60621",12,2020-03-16,2020-03-22,14,14,48,48.2,52,55,179,189.4,26.9230769230769,25.4545454545455,0,0,0,0,"60621-2020-12",29042,"southwest",60621,29042,28987,29028,0,0,0,71.7948717948718,65.7534246575342,0,71.7948717948718,65.7534246575342,0,46.0923793131141,2,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,18.4017538312785,0,6.03780599964777
"17","60606",12,2020-03-16,2020-03-22,0,0,0,0,17,20,548,645,0,0,0,0,0,0,"60606-2020-12",3101,"central",60606,3101,3081,3101,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"18","60640",12,2020-03-16,2020-03-22,18,21,26,30.1,102,122,146,175,17.6470588235294,17.2131147540984,0,0,0,0,"60640-2020-12",69715,"northeast",60640,69715,69593,69694,0,0,0,47.0588235294118,35.6164383561644,0,47.0588235294118,35.6164383561644,0,27.704447302694,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-3.59824616872154,0,-3.23821209989974
"19","60613",12,2020-03-16,2020-03-22,25,30,50,59.9,80,95,160,189.6,31.25,31.5789473684211,0,0,0,0,"60613-2020-12",50113,"northeast",60613,50113,50018,50083,0,0,0,83.3333333333333,68.4931506849315,0,83.3333333333333,68.4931506849315,0,50.8769942750091,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,20.4017538312785,0,10.3647290765708
"20","60629",12,2020-03-16,2020-03-22,16,16,14,14.3,82,89,73,79.6,19.5121951219512,17.9775280898876,0,0,0,0,"60629-2020-12",111850,"southwest",60629,111850,111761,111834,0,0,0,52.0325203252032,19.1780821917808,0,52.0325203252032,19.1780821917808,0,23.8626445182034,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-15.5982461687215,0,-1.37307580147793
"21","60645",12,2020-03-16,2020-03-22,24,24,50,50.3,74,78,155,163.4,32.4324324324324,30.7692307692308,0,0,0,0,"60645-2020-12",47732,"northeast",60645,47732,47654,47708,0,0,0,86.4864864864865,68.4931506849315,0,86.4864864864865,68.4931506849315,0,51.9336146397532,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,20.4017538312785,0,11.5471615090033
"22","60604",12,2020-03-16,2020-03-22,0,0,0,0,0,1,0,127.9,0,0,0,0,0,0,"60604-2020-12",782,"central",60604,782,781,782,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"23","60655",12,2020-03-16,2020-03-22,0,0,0,0,29,34,101,118,0,0,0,0,0,0,"60655-2020-12",28804,"southwest",60655,28804,28770,28804,0,0,0,0,0,0,0,0,0,0,1,1,1,"#0070ff",1,821,7,29.5982461687215,0,20.8852709234292,-29.5982461687215,0,-20.8852709234292
"24","60619",12,2020-03-16,2020-03-22,28,31,46,50.6,117,125,191,204.1,23.9316239316239,24.8,0,0,0,0,"60619-2020-12",61258,"southeast",60619,61258,61133,61227,0,0,0,63.8176638176638,63.013698630137,0,63.8176638176638,63.013698630137,0,42.5011390000449,2,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,16.4017538312785,0,3.04635300819478
"25","60638",12,2020-03-16,2020-03-22,8,8,14,13.6,44,46,75,78.2,18.1818181818182,17.3913043478261,0,0,0,0,"60638-2020-12",58797,"southwest",60638,58797,58751,58789,0,0,0,48.4848484848485,19.1780821917808,0,48.4848484848485,19.1780821917808,0,22.673821098637,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,-15.5982461687215,0,-2.70345274161097
"26","60653",12,2020-03-16,2020-03-22,21,21,66,65.7,80,85,250,265.9,26.25,24.7058823529412,0,0,0,0,"60653-2020-12",31972,"southeast",60653,31972,31887,31951,0,0,0,70,90.4109589041096,0,70,90.4109589041096,0,53.7536483874006,2,5,5,"#ff0000",1,821,7,29.5982461687215,0,20.8852709234292,36.4017538312785,0,5.36472907657085
"27","60611",12,2020-03-16,2020-03-22,15,16,46,49.3,85,99,262,305.3,17.6470588235294,16.1616161616162,0,0,0,0,"60611-2020-12",32426,"northeast",60611,32426,32327,32410,0,0,0,47.0588235294118,63.013698630137,0,47.0588235294118,63.013698630137,0,36.8852582996881,2,5,3,"#ffebaf",1,821,7,29.5982461687215,0,20.8852709234292,16.4017538312785,0,-3.23821209989974
"28","60626",12,2020-03-16,2020-03-22,15,16,30,32.2,88,92,177,185,17.0454545454545,17.3913043478261,0,0,0,0,"60626-2020-12",49730,"northeast",60626,49730,49638,49714,0,0,0,45.4545454545454,41.0958904109589,0,45.4545454545454,41.0958904109589,0,29.003016558686,1,5,2,"#bed2ff",1,821,7,29.5982461687215,0,20.8852709234292,0.401753831278459,0,-3.83981637797461
"29","60643",12,2020-03-16,2020-03-22,21,23,42,46.1,76,81,152,162.4,27.6315789473684,28.3950617283951,0,0,0,0,"60643-2020-12",49870,"southwest",60643,49870,49789,49847,0,0,0,73.6842105263158,57.5342465753425,0,73.6842105263158,57.5342465753425,0,43.9712526698139,1,5,4,"#ffaa00",1,821,7,29.5982461687215,0,20.8852709234292,12.4017538312785,0,6.74630802393927
