"","ZCTA5","TOTPOP","REGION","ZCTA5No","CasCm","DthCm","TstCm","PosRt","PkCasWk","PkCasDat","PkCas","PkCasRt","PkDthWk","PkDthDat","PkDth","PkDthRt","PkPosWk","PkPosDat","PkPosRt","EndDate","EndDateCh","CasRt_c","DthRt_c","PosRt_c","CasRtRnk","DthRtRnk","PosRtRnk"
"35","60637",47454,"southeast",60637,2956,56,115099,"2.6",46,"11/15/20",196,413,17,"04/26/20",5,10.5,15,"04/12/20",28.9099526066351,2021-03-28,"March 28, 2021",6229.19037383572,118.009019260758,2.56822387683646,52,40,58
"36","60638",58797,"southwest",60638,7322,111,55798,"13.1",46,"11/15/20",608,1034,18,"05/03/20",8,13.6,18,"05/03/20",29.5055821371611,2021-03-28,"March 28, 2021",12453.016310356,188.785142099087,13.1223341338399,6,27,6
"37","60639",90517,"northwest",60639,13657,226,97839,"14",46,"11/15/20",909,1004,19,"05/10/20",18,19.9,18,"05/03/20",46.5833945628215,2021-03-28,"March 28, 2021",15087.7735673962,249.676856281141,13.958646347571,1,9,5
"38","60640",69715,"northeast",60640,4276,149,103614,"4.1",49,"12/06/20",240,344,19,"05/10/20",16,23,16,"04/19/20",43.9759036144578,2021-03-28,"March 28, 2021",6133.54371369146,213.72731836764,4.12685544424499,53,15,52
"39","60641",71023,"northwest",60641,8376,119,92573,"9",46,"11/15/20",535,753,19,"05/10/20",9,12.7,18,"05/03/20",36.8975903614458,2021-03-28,"March 28, 2021",11793.3627134872,167.551356602791,9.04799455564797,8,32,17
"40","60642",20201,"northeast",60642,1853,22,30876,"6",46,"11/15/20",139,688,19,"05/10/20",3,14.9,17,"04/26/20",26.7241379310345,2021-03-28,"March 28, 2021",9172.81322706797,108.905499727736,6.00142505505895,21,43,33
"41","60643",49870,"southwest",60643,3964,125,72148,"5.5",46,"11/15/20",262,525,18,"05/03/20",12,24.1,14,"04/05/20",41.9753086419753,2021-03-28,"March 28, 2021",7948.66653298576,250.651694405454,5.49426179519876,37,8,36
"42","60644",47712,"central",60644,3908,119,53429,"7.3",17,"04/26/20",218,457,18,"05/03/20",16,33.5,14,"04/05/20",51.7441860465116,2021-03-28,"March 28, 2021",8190.81153588196,249.413145539906,7.31437983117782,32,10,24
"43","60645",47732,"northeast",60645,4417,106,61264,"7.2",46,"11/15/20",285,597,17,"04/26/20",12,25.1,14,"04/05/20",44.2622950819672,2021-03-28,"March 28, 2021",9253.75010475153,222.073242269337,7.20978062157221,20,14,25
"44","60646",27987,"northwest",60646,2513,67,35665,"7",46,"11/15/20",166,593,19,"05/10/20",14,50,17,"04/26/20",24.0909090909091,2021-03-28,"March 28, 2021",8979.16889984636,239.396862829171,7.04612365063788,27,11,26
"45","60647",87509,"northeast",60647,8164,143,129877,"6.3",46,"11/15/20",550,628,19,"05/10/20",16,18.3,17,"04/26/20",36.4686468646865,2021-03-28,"March 28, 2021",9329.32612645556,163.411763361483,6.28594747337866,19,33,32
"46","60649",46024,"southeast",60649,2998,150,50709,"5.9",17,"04/26/20",191,415,18,"05/03/20",25,54.3,17,"04/26/20",38.430583501006,2021-03-28,"March 28, 2021",6513.99269946115,325.916912915001,5.91216549330494,48,1,35
"47","60651",63218,"northwest",60651,7202,129,62821,"11.5",46,"11/15/20",462,731,17,"04/26/20",11,17.4,13,"03/29/20",46.4788732394366,2021-03-28,"March 28, 2021",11392.3249707362,204.055806890443,11.4643192562996,9,21,8
"48","60652",43907,"southwest",60652,4931,92,43720,"11.3",46,"11/15/20",331,754,23,"06/07/20",11,25.1,14,"04/05/20",41.6107382550336,2021-03-28,"March 28, 2021",11230.5554922905,209.533787323206,11.2785910338518,11,18,9
"49","60653",31972,"southeast",60653,2346,58,43513,"5.4",46,"11/15/20",162,507,15,"04/12/20",7,21.9,13,"03/29/20",34.6153846153846,2021-03-28,"March 28, 2021",7337.67046165395,181.408732641061,5.39149219773401,40,29,38
"50","60654",19135,"northeast",60654,1884,6,31612,"6",45,"11/08/20",167,873,20,"05/17/20",1,5.2,15,"04/12/20",76.4705882352941,2021-03-28,"March 28, 2021",9845.832244578,31.3561536451529,5.95976211565228,14,54,34
"51","60655",28804,"southwest",60655,3241,35,32833,"9.9",46,"11/15/20",304,1055,49,"12/06/20",3,10.4,14,"04/05/20",25.8823529411765,2021-03-28,"March 28, 2021",11251.9094570199,121.510901263713,9.87116620473304,10,39,15
"52","60656",27579,"northwest",60656,2830,55,27614,"10.2",46,"11/15/20",205,743,56,"01/24/21",5,18.1,46,"11/15/20",19.9805068226121,2021-03-28,"March 28, 2021",10261.4307987962,199.427100329961,10.2484247121026,13,23,12
"53","60657",70052,"northeast",60657,4891,46,103548,"4.7",46,"11/15/20",400,571,18,"05/03/20",5,7.1,13,"03/29/20",24.5398773006135,2021-03-28,"March 28, 2021",6981.95626106321,65.6655056243933,4.72341329624908,43,50,43
"54","60659",41068,"northeast",60659,3764,86,41998,"9",46,"11/15/20",277,674,16,"04/19/20",7,17,14,"04/05/20",41.5584415584416,2021-03-28,"March 28, 2021",9165.28684133632,209.408785429044,8.96233153959712,22,19,18
"55","60660",43242,"northeast",60660,2580,69,63692,"4.1",46,"11/15/20",165,382,17,"04/26/20",9,20.8,15,"04/12/20",39.3939393939394,2021-03-28,"March 28, 2021",5966.42153461912,159.567087553767,4.05074420649375,55,36,53
"56","60661",9926,"central",60661,752,1,14800,"5.1",46,"11/15/20",63,635,47,"11/22/20",1,10.1,13,"03/29/20",30,2021-03-28,"March 28, 2021",7576.0628652025,10.0745516824501,5.08108108108108,38,56,41
"57","60707",43019,"northwest",60707,2118,40,4389,"48.3",49,"12/06/20",143,332,51,"12/20/20",6,13.9,33,"08/16/20",Inf,2021-03-28,"March 28, 2021",4923.4059369116,92.9821706687743,48.257006151743,57,45,1
"58","60827",28577,"southeast",60827,294,13,807,"36.4",47,"11/22/20",15,52,19,"05/10/20",2,7,33,"08/16/20",Inf,2021-03-28,"March 28, 2021",1028.7993841201,45.4911292298002,36.4312267657993,58,52,2
