"","Date","Category","Value","layer"
"80",2020-06-01,"Deaths_Age0_17",0,"DeathsAgeT"
"81",2020-06-02,"Deaths_Age0_17",0,"DeathsAgeT"
"82",2020-06-03,"Deaths_Age0_17",0,"DeathsAgeT"
"83",2020-06-04,"Deaths_Age0_17",0,"DeathsAgeT"
"84",2020-06-05,"Deaths_Age0_17",0,"DeathsAgeT"
"85",2020-06-06,"Deaths_Age0_17",0,"DeathsAgeT"
"86",2020-06-07,"Deaths_Age0_17",0,"DeathsAgeT"
"87",2020-06-08,"Deaths_Age0_17",0,"DeathsAgeT"
"88",2020-06-09,"Deaths_Age0_17",0,"DeathsAgeT"
"89",2020-06-10,"Deaths_Age0_17",0,"DeathsAgeT"
"90",2020-06-11,"Deaths_Age0_17",0,"DeathsAgeT"
"91",2020-06-12,"Deaths_Age0_17",0,"DeathsAgeT"
"92",2020-06-13,"Deaths_Age0_17",0,"DeathsAgeT"
"93",2020-06-14,"Deaths_Age0_17",0,"DeathsAgeT"
"94",2020-06-15,"Deaths_Age0_17",0,"DeathsAgeT"
"95",2020-06-16,"Deaths_Age0_17",0,"DeathsAgeT"
"96",2020-06-17,"Deaths_Age0_17",0,"DeathsAgeT"
"97",2020-06-18,"Deaths_Age0_17",0,"DeathsAgeT"
"98",2020-06-19,"Deaths_Age0_17",0,"DeathsAgeT"
"99",2020-06-20,"Deaths_Age0_17",0,"DeathsAgeT"
"100",2020-06-21,"Deaths_Age0_17",0,"DeathsAgeT"
"101",2020-06-22,"Deaths_Age0_17",0,"DeathsAgeT"
"102",2020-06-23,"Deaths_Age0_17",0,"DeathsAgeT"
"103",2020-06-24,"Deaths_Age0_17",0,"DeathsAgeT"
"104",2020-06-25,"Deaths_Age0_17",0,"DeathsAgeT"
"105",2020-06-26,"Deaths_Age0_17",0,"DeathsAgeT"
"106",2020-06-27,"Deaths_Age0_17",0,"DeathsAgeT"
"107",2020-06-28,"Deaths_Age0_17",0,"DeathsAgeT"
"108",2020-06-29,"Deaths_Age0_17",0,"DeathsAgeT"
"109",2020-06-30,"Deaths_Age0_17",0,"DeathsAgeT"
"110",2020-07-01,"Deaths_Age0_17",0,"DeathsAgeT"
"111",2020-07-02,"Deaths_Age0_17",0,"DeathsAgeT"
"112",2020-07-03,"Deaths_Age0_17",0,"DeathsAgeT"
"113",2020-07-04,"Deaths_Age0_17",0,"DeathsAgeT"
"114",2020-07-05,"Deaths_Age0_17",0,"DeathsAgeT"
"115",2020-07-06,"Deaths_Age0_17",0,"DeathsAgeT"
"116",2020-07-07,"Deaths_Age0_17",0,"DeathsAgeT"
"117",2020-07-08,"Deaths_Age0_17",0,"DeathsAgeT"
"118",2020-07-09,"Deaths_Age0_17",0,"DeathsAgeT"
"119",2020-07-10,"Deaths_Age0_17",0,"DeathsAgeT"
"120",2020-07-11,"Deaths_Age0_17",0,"DeathsAgeT"
"121",2020-07-12,"Deaths_Age0_17",0,"DeathsAgeT"
"122",2020-07-13,"Deaths_Age0_17",0,"DeathsAgeT"
"123",2020-07-14,"Deaths_Age0_17",0,"DeathsAgeT"
"124",2020-07-15,"Deaths_Age0_17",0,"DeathsAgeT"
"125",2020-07-16,"Deaths_Age0_17",0,"DeathsAgeT"
"126",2020-07-17,"Deaths_Age0_17",0,"DeathsAgeT"
"127",2020-07-18,"Deaths_Age0_17",0,"DeathsAgeT"
"128",2020-07-19,"Deaths_Age0_17",0,"DeathsAgeT"
"129",2020-07-20,"Deaths_Age0_17",0,"DeathsAgeT"
"130",2020-07-21,"Deaths_Age0_17",0,"DeathsAgeT"
"131",2020-07-22,"Deaths_Age0_17",0,"DeathsAgeT"
"132",2020-07-23,"Deaths_Age0_17",0,"DeathsAgeT"
"133",2020-07-24,"Deaths_Age0_17",0,"DeathsAgeT"
"134",2020-07-25,"Deaths_Age0_17",0,"DeathsAgeT"
"135",2020-07-26,"Deaths_Age0_17",0,"DeathsAgeT"
"136",2020-07-27,"Deaths_Age0_17",0,"DeathsAgeT"
"137",2020-07-28,"Deaths_Age0_17",0,"DeathsAgeT"
"138",2020-07-29,"Deaths_Age0_17",0,"DeathsAgeT"
"139",2020-07-30,"Deaths_Age0_17",0,"DeathsAgeT"
"140",2020-07-31,"Deaths_Age0_17",0,"DeathsAgeT"
"141",2020-08-01,"Deaths_Age0_17",0,"DeathsAgeT"
"142",2020-08-02,"Deaths_Age0_17",0,"DeathsAgeT"
"143",2020-08-03,"Deaths_Age0_17",0,"DeathsAgeT"
"144",2020-08-04,"Deaths_Age0_17",0,"DeathsAgeT"
"145",2020-08-05,"Deaths_Age0_17",0,"DeathsAgeT"
"146",2020-08-06,"Deaths_Age0_17",0,"DeathsAgeT"
"147",2020-08-07,"Deaths_Age0_17",0,"DeathsAgeT"
"148",2020-08-08,"Deaths_Age0_17",0,"DeathsAgeT"
"149",2020-08-09,"Deaths_Age0_17",0,"DeathsAgeT"
"150",2020-08-10,"Deaths_Age0_17",0,"DeathsAgeT"
"151",2020-08-11,"Deaths_Age0_17",0,"DeathsAgeT"
"152",2020-08-12,"Deaths_Age0_17",0,"DeathsAgeT"
"153",2020-08-13,"Deaths_Age0_17",0,"DeathsAgeT"
"154",2020-08-14,"Deaths_Age0_17",0,"DeathsAgeT"
"155",2020-08-15,"Deaths_Age0_17",0,"DeathsAgeT"
"156",2020-08-16,"Deaths_Age0_17",0,"DeathsAgeT"
"157",2020-08-17,"Deaths_Age0_17",0,"DeathsAgeT"
"158",2020-08-18,"Deaths_Age0_17",0,"DeathsAgeT"
"159",2020-08-19,"Deaths_Age0_17",0,"DeathsAgeT"
"160",2020-08-20,"Deaths_Age0_17",0,"DeathsAgeT"
"161",2020-08-21,"Deaths_Age0_17",0,"DeathsAgeT"
"162",2020-08-22,"Deaths_Age0_17",0,"DeathsAgeT"
"163",2020-08-23,"Deaths_Age0_17",0,"DeathsAgeT"
"164",2020-08-24,"Deaths_Age0_17",0,"DeathsAgeT"
"165",2020-08-25,"Deaths_Age0_17",0,"DeathsAgeT"
"166",2020-08-26,"Deaths_Age0_17",0,"DeathsAgeT"
"167",2020-08-27,"Deaths_Age0_17",0,"DeathsAgeT"
"168",2020-08-28,"Deaths_Age0_17",0,"DeathsAgeT"
"169",2020-08-29,"Deaths_Age0_17",0,"DeathsAgeT"
"170",2020-08-30,"Deaths_Age0_17",0,"DeathsAgeT"
"171",2020-08-31,"Deaths_Age0_17",0,"DeathsAgeT"
"172",2020-09-01,"Deaths_Age0_17",0,"DeathsAgeT"
"173",2020-09-02,"Deaths_Age0_17",0,"DeathsAgeT"
"174",2020-09-03,"Deaths_Age0_17",0,"DeathsAgeT"
"175",2020-09-04,"Deaths_Age0_17",0,"DeathsAgeT"
"176",2020-09-05,"Deaths_Age0_17",0,"DeathsAgeT"
"177",2020-09-06,"Deaths_Age0_17",0,"DeathsAgeT"
"178",2020-09-07,"Deaths_Age0_17",0,"DeathsAgeT"
"179",2020-09-08,"Deaths_Age0_17",0,"DeathsAgeT"
"180",2020-09-09,"Deaths_Age0_17",0,"DeathsAgeT"
"181",2020-09-10,"Deaths_Age0_17",0,"DeathsAgeT"
"182",2020-09-11,"Deaths_Age0_17",0,"DeathsAgeT"
"183",2020-09-12,"Deaths_Age0_17",0,"DeathsAgeT"
"184",2020-09-13,"Deaths_Age0_17",0,"DeathsAgeT"
"185",2020-09-14,"Deaths_Age0_17",0,"DeathsAgeT"
"186",2020-09-15,"Deaths_Age0_17",0,"DeathsAgeT"
"187",2020-09-16,"Deaths_Age0_17",0,"DeathsAgeT"
"188",2020-09-17,"Deaths_Age0_17",0,"DeathsAgeT"
"189",2020-09-18,"Deaths_Age0_17",0,"DeathsAgeT"
"190",2020-09-19,"Deaths_Age0_17",0,"DeathsAgeT"
"191",2020-09-20,"Deaths_Age0_17",0,"DeathsAgeT"
"192",2020-09-21,"Deaths_Age0_17",0,"DeathsAgeT"
"193",2020-09-22,"Deaths_Age0_17",0,"DeathsAgeT"
"194",2020-09-23,"Deaths_Age0_17",0,"DeathsAgeT"
"195",2020-09-24,"Deaths_Age0_17",0,"DeathsAgeT"
"196",2020-09-25,"Deaths_Age0_17",0,"DeathsAgeT"
"197",2020-09-26,"Deaths_Age0_17",0,"DeathsAgeT"
"198",2020-09-27,"Deaths_Age0_17",0,"DeathsAgeT"
"199",2020-09-28,"Deaths_Age0_17",0,"DeathsAgeT"
"200",2020-09-29,"Deaths_Age0_17",0,"DeathsAgeT"
"201",2020-09-30,"Deaths_Age0_17",0,"DeathsAgeT"
"202",2020-10-01,"Deaths_Age0_17",0,"DeathsAgeT"
"203",2020-10-02,"Deaths_Age0_17",0,"DeathsAgeT"
"204",2020-10-03,"Deaths_Age0_17",0,"DeathsAgeT"
"205",2020-10-04,"Deaths_Age0_17",0,"DeathsAgeT"
"206",2020-10-05,"Deaths_Age0_17",0,"DeathsAgeT"
"207",2020-10-06,"Deaths_Age0_17",0,"DeathsAgeT"
"208",2020-10-07,"Deaths_Age0_17",0,"DeathsAgeT"
"209",2020-10-08,"Deaths_Age0_17",0,"DeathsAgeT"
"210",2020-10-09,"Deaths_Age0_17",0,"DeathsAgeT"
"211",2020-10-10,"Deaths_Age0_17",0,"DeathsAgeT"
"212",2020-10-11,"Deaths_Age0_17",0,"DeathsAgeT"
"213",2020-10-12,"Deaths_Age0_17",0,"DeathsAgeT"
"214",2020-10-13,"Deaths_Age0_17",0,"DeathsAgeT"
"215",2020-10-14,"Deaths_Age0_17",0,"DeathsAgeT"
"216",2020-10-15,"Deaths_Age0_17",0,"DeathsAgeT"
"217",2020-10-16,"Deaths_Age0_17",0,"DeathsAgeT"
